,S.No.,Name,Market Cap(Cr),Sales Quarterly(Cr)
0,64,Interglobe Aviat,48621.37,1278.3
1,65,Cipla,48577.43,1278.3
2,66,Piramal Enterp.,47483.97,1278.3
3,67,United Spirits,46725.05,1278.3
4,68,Pidilite Inds.,45855.5,1278.3
5,69,Siemens,44239.04,1278.3
6,70,Cadila Health.,41876.19,1278.3
7,71,NMDC,41415.33,1278.3
8,72,DLF,40159.35,1278.3
9,73,Marico,39813.84,1278.3
10,74,Ashok Leyland,39047.57,1278.3
11,75,Bharat Electron,37776.23,1278.3
12,76,ICICI Lombard,37219.22,1278.3
13,77,Lupin,36878.85,1278.3
14,78,Petronet LNG,36615,1278.3
15,79,Aditya Birla Cap,36215.92,1278.3
16,80,Dr Reddy's Labs,35893.55,1278.3
17,81,Sun TV Network,35824.26,1278.3
18,83,UPL,35349.58,1278.3
19,84,Oracle Fin.Serv.,34620.19,1278.3
20,85,Bharat Forge,34397.69,1278.3
21,86,Biocon,34347,1278.3
22,87,B H E L,34162.38,1278.3
23,88,Aurobindo Pharma,33676.52,1278.3
24,90,Idea Cellular,33047.33,1278.3
25,91,A B B,31983.33,1278.3
26,92,Havells India,31798.18,1278.3
27,93,Container Corpn.,31450.56,1278.3
28,94,TVS Motor Co.,30919.51,1278.3
29,95,ACC,30803.68,1278.3
30,96,Bajaj Holdings,30305.94,1278.3
31,97,P & G Hygiene,30202.12,1278.3
32,98,MRF,30030.01,1278.3
33,99,Shriram Trans.,29327.64,1278.3
34,100,Colgate-Palm.,9885.05,1278.3
35,101,L&T Fin.Holdings,28932.43,2630.17
36,103,NHPC Ltd,28059.24,1497.93
37,105,United Breweries,27797.69,1197.1
38,106,Oil India,27404.15,2852.55
39,108,GlaxoSmith C H L,27340.89,1034.67
40,109,M & M Fin. Serv.,26928.37,2182.45
41,110,Divi's Lab.,26915.86,1037.88
42,111,Kansai Nerolac,26409.76,1145.01
43,112,Alkem Lab,25957.56,1422.52
44,113,LIC Housing Fin.,25880.98,3738.1
45,115,Page Industries,25383.03,621.03
46,116,Dalmia Bhar.,25288.97,2090.54
47,117,IIFL Holdings,24788.54,1612.14
48,118,L & T Infotech,24626.1,1883.8
49,120,Emami,23720.37,756.64
50,121,Cummins India,23562,1354.67
51,122,Berger Paints,23537.8,1338.63
52,127,3M India,23101.19,645.77
53,129,Edelweiss.Fin.,22915.42,2069.45
54,130,Gillette India,21976.74,407.52
55,132,Adani Transmissi,21677.26,1782.29
56,133,Balkrishna Inds,21372.18,1106.31
57,134,Cholaman.Inv.&Fn,20832.4,1404.33
58,135,Indraprastha Gas,20779.52,1183.9
59,137,Glaxosmi. Pharma,20489.35,703.91
60,138,PNB Housing,20037.85,1438.49
61,139,RBL Bank,19748.79,1150.79
62,140,Castrol India,18803.22,970.3
63,142,GRUH Finance,18535.09,428.47
64,143,KIOCL,18534.15,442.81
65,144,Voltas,18453.44,1374.67
66,145,Godrej Inds.,18298.09,2458.48
67,146,Whirlpool India,18254.06,958.01
68,147,Sundaram Finance,18159.85,677.23
69,148,Federal Bank,18086.81,2501.2
70,149,Tata Comm,17963.55,4114.63
71,150,Endurance Tech.,9885.05,1278.3
72,151,Tata Chemicals,17941.47,2573.91
73,152,Exide Inds.,17930.75,2276.54
74,153,IDFC Bank,17762.77,2283.72
75,154,NBCC,17712,1321.5
76,156,The Ramco Cement,17246.58,1056.36
77,157,Dewan Hsg. Fin.,17097.54,2631.6
78,158,MphasiS,16728.78,1660.69
79,159,Apollo Hospitals,16683.97,1896.14
80,160,Reliance Nip.Lif,16655.58,394
81,161,Tata Global,16589.24,1730.39
82,162,Godrej Propert.,16545.51,627.03
83,163,AU Small Finance,16453.67,464.17
84,164,Indian Hotels,16150.13,1197.26
85,165,Motil.Oswal.Fin.,16108.15,728.63
86,166,H U D C O,16065.25,1064.49
87,167,Oberoi Realty,16044.51,356.2
88,169,SJVN,15512.35,436.58
89,171,Supreme Inds.,15248.94,1278.3
90,172,Muthoot Finance,15226.72,1553.71
91,173,NLC India,15201.61,1706.48
92,176,Info Edg.(India),14845.05,1278.3
93,177,Glenmark Pharma.,14785.53,2203.67
94,178,Jubilant Life,14775.08,2067.76
95,179,Crompton Gr. Con,14638.57,938.19
96,180,Honeywell Auto,14526.24,721.48
97,181,Natco Pharma,14456.9,1278.3
98,182,PC Jeweller,14334.81,2644.89
99,183,Quess Corp,14330.19,1583.95
100,184,CRISIL,14164.81,441.13
101,185,WABCO India,13843.64,649.91
102,186,Amara Raja Batt.,13774.32,1553.46
103,189,Sterlite Tech.,13743.95,835.18
104,190,AIA Engg.,13593.35,572.16
105,191,KRBL,13492.55,783.51
106,192,Max Financial,13401.76,1278.3
107,193,Indiabulls Vent.,13396.15,238.43
108,194,Century Textiles,13369.97,2069.39
109,195,Jubilant Food.,13178.43,795.17
110,196,Bayer Crop Sci.,13166.76,1278.3
111,197,Graphite India,13129.9,933.06
112,198,JSW Energy,13104,1993.2
113,200,Natl. Aluminium,9885.05,1278.3
114,201,CESC,12996.56,1706
115,202,Shri.City Union.,12995.31,1338.09
116,203,L&T Technology,12942.25,1278.3
117,204,Rain Industries,12655.17,3050.81
118,205,Torrent Power,12599.37,2754.64
119,206,Dilip Buildcon,12526.06,1942.12
120,207,TI Financial,12507.91,886.68
121,208,JM Financial,12382.64,837.73
122,210,Reliance Power,12033.99,2494.65
123,212,Syngene Intl.,11950,1278.3
124,213,Abbott India,11924.12,881.49
125,214,Hatsun AgroProd.,11896.52,1012.94
126,215,Symphony,11882.55,217.63
127,216,Gujarat Gas,11759.77,1571.33
128,218,Aditya Bir. Fas.,11718.17,1855
129,219,Ajanta Pharma,11651.8,587.05
130,220,P I Inds.,11564.22,537.74
131,221,City Union Bank,11554.4,1278.3
132,222,Varun Beverages,11498.3,1278.3
133,223,Mindtree,11438.78,1377.7
134,224,Prestige Estates,11353.13,1272.3
135,225,Future Consumer,11203.15,1278.3
136,226,Sundram Fasten.,11202.53,1278.3
137,227,Sanofi India,11182.45,1278.3
138,228,Guj.St.Petronet,11064.74,1278.3
139,229,Godrej Agrovet,10918.75,1278.3
140,230,Finolex Cables,10900.75,1278.3
141,231,Bombay Burmah,10864.53,1278.3
142,232,SRF,10842.62,1397.06
143,233,GE T&D India,10778.42,1438.55
144,234,Alembic Pharma,10764.29,1278.3
145,235,SPARC,10755.13,1278.3
146,236,GMR Infra.,10653.44,2072.29
147,237,HEG,10630.76,1278.3
148,238,Trent,10589.27,1278.3
149,239,Engineers India,10565.56,1278.3
150,240,Avanti Feeds,10558.13,1278.3
151,241,Pfizer,10508.48,1278.3
152,242,Escorts,10450.56,1205.03
153,244,Blue Dart Exp.,10422.45,1278.3
154,245,Indbull.RealEst.,10338.4,2100.13
155,246,ERIS Lifescience,10289.81,1278.3
156,247,Arvind Ltd,10247.7,2705.75
157,248,Sundaram Clayton,10074.36,1278.3
158,249,Hexaware Tech.,9885.05,1004.83
159,250,Mahanagar Gas,9885.05,1278.3
160,255,SKF India,9569.14,1278.3
161,256,Delta Corp,9531.57,1278.3
162,258,TV18 Broadcast,9463.27,1278.3
163,259,Minda Inds.,9457.04,1056.16
164,260,Solar Inds.,9317.76,1278.3
165,261,Kajaria Ceramics,9306.54,661.16
166,262,Astral Poly,9162.14,528.54
167,263,Bata India,9145.38,674
168,264,Phoenix Mills,9097.33,416.61
169,267,BASF India,8778.35,1278.74
170,268,DCM Shriram,8681.95,1783.73
171,269,Infibeam Incorp.,8646.54,213.48
172,270,Aegis Logistics,8613.86,1442.08
173,271,Mahindra CIE,8587.04,1278.3
174,273,SpiceJet,8458.24,2081.95
175,274,Thomas Cook (I),8440.65,3005.45
176,275,Guj Fluorochem,8439.77,968.97
177,276,Wockhardt,8428.58,1005.3
178,277,Akzo Nobel,8389.47,711.99
179,278,I D F C,8380.86,2789.58
180,279,Security & Intel,8247.08,1537.72
181,280,Asahi India Glas,8183.96,640.38
182,281,TTK Prestige,8153.33,457.97
183,282,ITI,8124.6,250.97
184,283,Karur Vysya Bank,8065.7,1422.32
185,284,Vardhman Textile,8023.74,1647.98
186,285,Fortis Health.,7966.43,1156.61
187,286,Ipca Labs.,7943.03,859.21
188,287,Sheela Foam,7815.74,532.21
189,288,IRB Infra.Devl.,7812.73,1296.19
190,289,Atul,7789.01,803.68
191,290,Finolex Inds.,7784.17,722.72
192,291,Dish TV,7765.91,740.77
193,292,Rel. Comm.,7702.01,1144
194,293,Dr Lal Pathlabs,7550.78,262.7
195,294,OCL India,7453.05,859.24
196,295,NCC,7439.01,2780.26
197,296,Relaxo Footwear,7251.91,457.5
198,297,J K Cements,7230.76,1126.11
199,298,G N F C,7208.38,1590.89
200,299,Cochin Shipyard,7154.99,615.04
201,300,Bajaj Corp,9885.05,1278.3
202,301,Birla Corpn.,7137.67,1389.32
203,302,Future Lifestyle,7009.13,1188.97
204,303,Century Ply.,6966.23,509.93
205,304,Blue Star,6952.99,981.3
206,305,Kalpataru Power,6950.23,1417.37
207,306,Suzlon Energy,6942.31,1193.06
208,307,Cyient,6921.97,983.3
209,308,Hind.Copper,6902.14,440.14
210,309,Guj Pipavav Port,6864.85,162.68
211,310,Carborundum Uni.,6838.18,611.59
212,311,Can Fin Homes,6811.5,392.1
213,312,Sadbhav Engg.,6795.06,2153.34
214,313,Advanta,6742.41,361.68
215,314,Capital First,6710.63,987.64
216,315,Lak. Mach. Works,6654.81,542.42
217,316,Himadri Specialt,6646.41,500.08
218,317,Coffee Day Enter,6601.62,965.3
219,318,PVR,6591.31,557.25
220,319,Chambal Fert.,6542.79,2330.1
221,320,Vijaya Bank,6531.58,3135.23
222,321,Welspun India,6520.67,1397.95
223,322,CEAT,6476.26,1574.15
224,323,Strides Shasun,6469.51,749.04
225,324,Narayana Hrudaya,6379.12,553.84
226,325,Jyothy Lab.,6324.62,431.21
227,326,Johnson Con. Hit,6209.11,377.4
228,327,Prism Cement,6176.23,1278.3
229,328,Tata Elxsi,6153.54,345.54
230,330,D B Corp,6059.97,598.58
231,331,Jain Irrigation,6019.89,1889.63
